Week,Relative interest,Interaction
8/26/18,9,Seed dispersal
9/2/18,10,Seed dispersal
9/9/18,11,Seed dispersal
9/16/18,11,Seed dispersal
9/23/18,14,Seed dispersal
9/30/18,14,Seed dispersal
10/7/18,14,Seed dispersal
10/14/18,13,Seed dispersal
10/21/18,16,Seed dispersal
10/28/18,13,Seed dispersal
11/4/18,14,Seed dispersal
11/11/18,15,Seed dispersal
11/18/18,12,Seed dispersal
11/25/18,13,Seed dispersal
12/2/18,15,Seed dispersal
12/9/18,12,Seed dispersal
12/16/18,8,Seed dispersal
12/23/18,5,Seed dispersal
12/30/18,9,Seed dispersal
1/6/19,12,Seed dispersal
1/13/19,12,Seed dispersal
1/20/19,12,Seed dispersal
1/27/19,12,Seed dispersal
2/3/19,14,Seed dispersal
2/16/14,58,pollination
2/23/14,69,pollination
3/2/14,78,pollination
3/9/14,78,pollination
3/16/14,76,pollination
3/23/14,79,pollination
3/30/14,68,pollination
4/6/14,67,pollination
4/13/14,74,pollination
4/20/14,75,pollination
4/27/14,80,pollination
5/4/14,83,pollination
5/11/14,80,pollination
5/18/14,81,pollination
5/25/14,68,pollination
6/1/14,67,pollination
6/8/14,60,pollination
6/15/14,52,pollination
6/22/14,57,pollination
6/29/14,58,pollination
7/6/14,45,pollination
7/13/14,44,pollination
7/20/14,45,pollination
7/27/14,40,pollination
8/3/14,44,pollination
8/10/14,40,pollination
8/17/14,42,pollination
8/24/14,42,pollination
8/31/14,52,pollination
9/7/14,51,pollination
9/14/14,59,pollination
9/21/14,65,pollination
9/28/14,60,pollination
10/5/14,60,pollination
10/12/14,68,pollination
10/19/14,58,pollination
10/26/14,63,pollination
11/2/14,62,pollination
11/9/14,62,pollination
11/16/14,59,pollination
11/23/14,58,pollination
11/30/14,59,pollination
12/7/14,51,pollination
12/14/14,38,pollination
12/21/14,26,pollination
12/28/14,26,pollination
1/4/15,46,pollination
1/11/15,47,pollination
1/18/15,51,pollination
1/25/15,57,pollination
2/1/15,62,pollination
2/8/15,65,pollination
2/15/15,69,pollination
2/22/15,67,pollination
3/1/15,70,pollination
3/8/15,74,pollination
3/15/15,70,pollination
3/22/15,71,pollination
3/29/15,63,pollination
4/5/15,69,pollination
4/12/15,81,pollination
4/19/15,84,pollination
4/26/15,87,pollination
5/3/15,89,pollination
5/10/15,91,pollination
5/17/15,81,pollination
5/24/15,63,pollination
5/31/15,67,pollination
6/7/15,56,pollination
6/14/15,62,pollination
6/21/15,57,pollination
6/28/15,50,pollination
7/5/15,52,pollination
7/12/15,45,pollination
7/19/15,44,pollination
7/26/15,42,pollination
8/2/15,43,pollination
8/9/15,44,pollination
8/16/15,42,pollination
8/23/15,45,pollination
8/30/15,48,pollination
9/6/15,53,pollination
9/13/15,60,pollination
9/20/15,55,pollination
9/27/15,65,pollination
10/4/15,68,pollination
10/11/15,70,pollination
10/18/15,68,pollination
10/25/15,67,pollination
11/1/15,69,pollination
11/8/15,64,pollination
11/15/15,70,pollination
11/22/15,52,pollination
11/29/15,59,pollination
12/6/15,56,pollination
12/13/15,47,pollination
12/20/15,25,pollination
12/27/15,28,pollination
1/3/16,45,pollination
1/10/16,51,pollination
1/17/16,51,pollination
1/24/16,65,pollination
1/31/16,73,pollination
2/7/16,66,pollination
2/14/16,58,pollination
2/21/16,80,pollination
2/28/16,85,pollination
3/6/16,88,pollination
3/13/16,81,pollination
3/20/16,70,pollination
3/27/16,74,pollination
4/3/16,87,pollination
4/10/16,88,pollination
4/17/16,90,pollination
4/24/16,93,pollination
5/1/16,84,pollination
5/8/16,78,pollination
5/15/16,78,pollination
5/22/16,71,pollination
5/29/16,64,pollination
6/5/16,69,pollination
6/12/16,58,pollination
6/19/16,58,pollination
6/26/16,53,pollination
7/3/16,50,pollination
7/10/16,48,pollination
7/17/16,48,pollination
7/24/16,47,pollination
7/31/16,46,pollination
8/7/16,42,pollination
8/14/16,38,pollination
8/21/16,47,pollination
8/28/16,50,pollination
9/4/16,50,pollination
9/11/16,55,pollination
9/18/16,61,pollination
9/25/16,65,pollination
10/2/16,70,pollination
10/9/16,84,pollination
10/16/16,79,pollination
